Dates,Tickers,Tenor,Data
20230106,EUSA4 BGN Curncy,4Y,2.974
20230106,EUSA40 BGN Curncy,40Y,1.9783
20230106,EUSA45 BGN Curncy,45Y,1.866
20230106,EUSA5 BGN Curncy,5Y,2.905
20230106,EUSA50 BGN Curncy,50Y,1.7773
20230106,EUSA6 BGN Curncy,6Y,2.867
20230106,EUSA7 BGN Curncy,7Y,2.8482
20230106,EUSA8 BGN Curncy,8Y,2.837
20230106,EUSA9 BGN Curncy,9Y,2.839
20230109,EUR006M Index,6M,2.809
20230109,EUSA1 BGN Curncy,1Y,3.2605
20230109,EUSA10 BGN Curncy,10Y,2.862
20230109,EUSA11 BGN Curncy,11Y,2.8713
20230109,EUSA12 BGN Curncy,12Y,2.8733
20230109,EUSA15 BGN Curncy,15Y,2.8422
20230109,EUSA1D BGN Curncy,1D,NaN
20230109,EUSA1F BGN Curncy,18M,3.299
20230109,EUSA2 BGN Curncy,2Y,3.246
20230109,EUSA20 BGN Curncy,20Y,2.6675
20230109,EUSA25 BGN Curncy,25Y,2.4532
20230109,EUSA3 BGN Curncy,3Y,3.085
20230109,EUSA30 BGN Curncy,30Y,2.28
20230109,EUSA35 BGN Curncy,35Y,2.135
20230109,EUSA4 BGN Curncy,4Y,2.9738
20230109,EUSA40 BGN Curncy,40Y,2.006
20230109,EUSA45 BGN Curncy,45Y,1.892
20230109,EUSA5 BGN Curncy,5Y,2.9155
20230109,EUSA50 BGN Curncy,50Y,1.7985
20230109,EUSA6 BGN Curncy,6Y,2.8822
20230109,EUSA7 BGN Curncy,7Y,2.8573
20230109,EUSA8 BGN Curncy,8Y,2.8513
20230109,EUSA9 BGN Curncy,9Y,2.8535
20230110,EUR006M Index,6M,2.82
20230110,EUSA1 BGN Curncy,1Y,3.2927
20230110,EUSA10 BGN Curncy,10Y,2.9135
20230110,EUSA11 BGN Curncy,11Y,2.9198
20230110,EUSA12 BGN Curncy,12Y,2.9212
20230110,EUSA15 BGN Curncy,15Y,2.8867
20230110,EUSA1D BGN Curncy,1D,NaN
20230110,EUSA1F BGN Curncy,18M,3.3232
20230110,EUSA2 BGN Curncy,2Y,3.27
20230110,EUSA20 BGN Curncy,20Y,2.7
20230110,EUSA25 BGN Curncy,25Y,2.4957
20230110,EUSA3 BGN Curncy,3Y,3.1035
20230110,EUSA30 BGN Curncy,30Y,2.319
20230110,EUSA35 BGN Curncy,35Y,2.1695
20230110,EUSA4 BGN Curncy,4Y,3.0058
20230110,EUSA40 BGN Curncy,40Y,2.03
20230110,EUSA45 BGN Curncy,45Y,1.922
20230110,EUSA5 BGN Curncy,5Y,2.9562
20230110,EUSA50 BGN Curncy,50Y,1.824
20230110,EUSA6 BGN Curncy,6Y,2.9247
20230110,EUSA7 BGN Curncy,7Y,2.9047
20230110,EUSA8 BGN Curncy,8Y,2.901
20230110,EUSA9 BGN Curncy,9Y,2.9047
20230111,EUR006M Index,6M,2.858
20230111,EUSA1 BGN Curncy,1Y,3.2568
20230111,EUSA10 BGN Curncy,10Y,2.7829
20230111,EUSA11 BGN Curncy,11Y,2.789
20230111,EUSA12 BGN Curncy,12Y,2.79
20230111,EUSA15 BGN Curncy,15Y,2.755
20230111,EUSA1D BGN Curncy,1D,NaN
20230111,EUSA1F BGN Curncy,18M,3.261
20230111,EUSA2 BGN Curncy,2Y,3.1962
20230111,EUSA20 BGN Curncy,20Y,2.5877
20230111,EUSA25 BGN Curncy,25Y,2.384
20230111,EUSA3 BGN Curncy,3Y,3.002
20230111,EUSA30 BGN Curncy,30Y,2.213
20230111,EUSA35 BGN Curncy,35Y,2.0638
20230111,EUSA4 BGN Curncy,4Y,2.89
20230111,EUSA40 BGN Curncy,40Y,1.9366
20230111,EUSA45 BGN Curncy,45Y,1.818
20230111,EUSA5 BGN Curncy,5Y,2.829
20230111,EUSA50 BGN Curncy,50Y,1.7188
20230111,EUSA6 BGN Curncy,6Y,2.7969
20230111,EUSA7 BGN Curncy,7Y,2.775
20230111,EUSA8 BGN Curncy,8Y,2.7695
20230111,EUSA9 BGN Curncy,9Y,2.7733
20230112,EUR006M Index,6M,2.818
20230112,EUSA1 BGN Curncy,1Y,3.2293
20230112,EUSA10 BGN Curncy,10Y,2.713
20230112,EUSA11 BGN Curncy,11Y,2.7193
20230112,EUSA12 BGN Curncy,12Y,2.722
20230112,EUSA15 BGN Curncy,15Y,2.696
20230112,EUSA1D BGN Curncy,1D,NaN
20230112,EUSA1F BGN Curncy,18M,3.239
20230112,EUSA2 BGN Curncy,2Y,3.1557
20230112,EUSA20 BGN Curncy,20Y,2.529
20230112,EUSA25 BGN Curncy,25Y,2.337
20230112,EUSA3 BGN Curncy,3Y,2.956
20230112,EUSA30 BGN Curncy,30Y,2.17
20230112,EUSA35 BGN Curncy,35Y,2.025
20230112,EUSA4 BGN Curncy,4Y,2.8364
20230112,EUSA40 BGN Curncy,40Y,1.8895
20230112,EUSA45 BGN Curncy,45Y,1.784
20230112,EUSA5 BGN Curncy,5Y,2.7692
20230112,EUSA50 BGN Curncy,50Y,1.685
20230112,EUSA6 BGN Curncy,6Y,2.7299
20230112,EUSA7 BGN Curncy,7Y,2.7083
20230112,EUSA8 BGN Curncy,8Y,2.702
20230112,EUSA9 BGN Curncy,9Y,2.705
20230113,EUR006M Index,6M,2.876
20230113,EUSA1 BGN Curncy,1Y,3.2786
20230113,EUSA10 BGN Curncy,10Y,2.7185
20230113,EUSA11 BGN Curncy,11Y,2.7283
20230113,EUSA12 BGN Curncy,12Y,2.7302
20230113,EUSA15 BGN Curncy,15Y,2.7048
20230113,EUSA1D BGN Curncy,1D,NaN
20230113,EUSA1F BGN Curncy,18M,3.2766
20230113,EUSA2 BGN Curncy,2Y,3.1943
20230113,EUSA20 BGN Curncy,20Y,2.5445
20230113,EUSA25 BGN Curncy,25Y,2.3545
20230113,EUSA3 BGN Curncy,3Y,2.9855
20230113,EUSA30 BGN Curncy,30Y,2.183
20230113,EUSA35 BGN Curncy,35Y,2.043
20230113,EUSA4 BGN Curncy,4Y,2.858
20230113,EUSA40 BGN Curncy,40Y,1.924
20230113,EUSA45 BGN Curncy,45Y,1.803
20230113,EUSA5 BGN Curncy,5Y,2.7825
20230113,EUSA50 BGN Curncy,50Y,1.7122
20230113,EUSA6 BGN Curncy,6Y,2.745
20230113,EUSA7 BGN Curncy,7Y,2.7208
20230113,EUSA8 BGN Curncy,8Y,2.713
20230113,EUSA9 BGN Curncy,9Y,2.7137
20230116,EUR006M Index,6M,2.843
20230116,EUSA1 BGN Curncy,1Y,3.2588
20230116,EUSA10 BGN Curncy,10Y,2.7215
20230116,EUSA11 BGN Curncy,11Y,2.7273
20230116,EUSA12 BGN Curncy,12Y,2.7292
20230116,EUSA15 BGN Curncy,15Y,2.7028
20230116,EUSA1D BGN Curncy,1D,NaN
20230116,EUSA1F BGN Curncy,18M,3.257
20230116,EUSA2 BGN Curncy,2Y,3.1712
20230116,EUSA20 BGN Curncy,20Y,2.5473
20230116,EUSA25 BGN Curncy,25Y,2.349
20230116,EUSA3 BGN Curncy,3Y,2.9625
20230116,EUSA30 BGN Curncy,30Y,2.183
20230116,EUSA35 BGN Curncy,35Y,2.05
20230116,EUSA4 BGN Curncy,4Y,2.8405
20230116,EUSA40 BGN Curncy,40Y,1.932
20230116,EUSA45 BGN Curncy,45Y,1.82
20230116,EUSA5 BGN Curncy,5Y,2.7763
20230116,EUSA50 BGN Curncy,50Y,1.7295
20230116,EUSA6 BGN Curncy,6Y,2.7376
20230116,EUSA7 BGN Curncy,7Y,2.7153
20230116,EUSA8 BGN Curncy,8Y,2.7112
20230116,EUSA9 BGN Curncy,9Y,2.7137
20230117,EUR006M Index,6M,2.878
20230117,EUSA1 BGN Curncy,1Y,3.1996
20230117,EUSA10 BGN Curncy,10Y,2.6455
20230117,EUSA11 BGN Curncy,11Y,2.6493
20230117,EUSA12 BGN Curncy,12Y,2.6527
20230117,EUSA15 BGN Curncy,15Y,2.6312
20230117,EUSA1D BGN Curncy,1D,NaN
20230117,EUSA1F BGN Curncy,18M,3.1737
