Dates,Tickers,Tenor,Data
20230928,EESWEK Curncy,11M,3.9365
20230928,ESTRON Curncy,1D,3.906
20230929,EESWE1 Curncy,1Y,3.899
20230929,EESWE10 Curncy,10Y,3.1938
20230929,EESWE12 Curncy,12Y,3.2475
20230929,EESWE15 Curncy,15Y,3.297
20230929,EESWE1F Curncy,18M,3.7083
20230929,EESWE1Z Curncy,1W,3.904
20230929,EESWE2 Curncy,2Y,3.5487
20230929,EESWE20 Curncy,20Y,3.259
20230929,EESWE25 Curncy,25Y,3.1568
20230929,EESWE2Z Curncy,2W,3.904
20230929,EESWE3 Curncy,3Y,3.327
20230929,EESWE30 Curncy,30Y,3.06
20230929,EESWE4 Curncy,4Y,3.218
20230929,EESWE40 Curncy,40Y,2.923
20230929,EESWE5 Curncy,5Y,3.167
20230929,EESWE50 Curncy,50Y,2.826
20230929,EESWE6 Curncy,6Y,3.148
20230929,EESWE7 Curncy,7Y,3.1465
20230929,EESWE8 Curncy,8Y,3.156
20230929,EESWE9 Curncy,9Y,3.173
20230929,EESWEA Curncy,1M,3.9071
20230929,EESWEB Curncy,2M,3.9172
20230929,EESWEC Curncy,3M,3.929
20230929,EESWED Curncy,4M,3.9455
20230929,EESWEE Curncy,5M,3.955
20230929,EESWEF Curncy,6M,3.9592
20230929,EESWEG Curncy,7M,3.956
20230929,EESWEH Curncy,8M,3.952
20230929,EESWEI Curncy,9M,3.9445
20230929,EESWEJ Curncy,10M,3.9304
20230929,EESWEK Curncy,11M,3.917
20230929,ESTRON Curncy,1D,3.88
20231002,EESWE1 Curncy,1Y,3.899
20231002,EESWE10 Curncy,10Y,3.2698
20231002,EESWE12 Curncy,12Y,3.323
20231002,EESWE15 Curncy,15Y,3.3793
20231002,EESWE1F Curncy,18M,3.7183
20231002,EESWE1Z Curncy,1W,3.9021
20231002,EESWE2 Curncy,2Y,3.5655
20231002,EESWE20 Curncy,20Y,3.338
20231002,EESWE25 Curncy,25Y,3.2393
20231002,EESWE2Z Curncy,2W,3.9032
20231002,EESWE3 Curncy,3Y,3.357
20231002,EESWE30 Curncy,30Y,3.141
20231002,EESWE4 Curncy,4Y,3.256
20231002,EESWE40 Curncy,40Y,3.012
20231002,EESWE5 Curncy,5Y,3.2145
20231002,EESWE50 Curncy,50Y,2.9117
20231002,EESWE6 Curncy,6Y,3.197
20231002,EESWE7 Curncy,7Y,3.207
20231002,EESWE8 Curncy,8Y,3.2215
